Folder Path,Number of Files Analyzed
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_13/Signed slides/Smudge cells,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Segmented neutrophils,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Monocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_31/Signed slides/Segmented neutrophils,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_04/Signed slides/Smudge cells,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Myelocyte,9
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Blast, no lineage spec",8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Smudge cells,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Monocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Lymphocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Myelocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Promyelocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_49/Signed slides/Segmented neutrophils,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Lymphocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_51/Signed slides/Monocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_57/Signed slides/Smudge cells,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Promonocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_13/Signed slides/Erythroblast,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_50/Signed slides/Smudge cells,8
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Lymphocyte, variant",8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Erythroblast,8
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_97/Signed slides/Lymphocyte, variant",8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_67/Signed slides/Smudge cells,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Erythroblast,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_41/Signed slides/Promyelocyte,8
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_57/Signed slides/Lymphocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Band neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_54/Signed slides/Myelocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_61/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_78/Signed slides/Monocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Eosinophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_85/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Smudge cells,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_72/Signed slides/Eosinophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Signed slides/Band neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Young Unidentified,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_66/Signed slides/Lymphocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Signed slides/Lymphocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_77/Signed slides/Band neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_66/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_96/Signed slides/Erythroblast,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Band neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Tests,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_32/10026417885/Signed slides/Segmented neutrophils,7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Lymphocyte, variant",7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Metamyelocyte,7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Blast, no lineage spec",7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Lymphocyte, variant",7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Smudge cells,7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Lymphocyte, variant",7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Lymphocyte,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Erythroblast,7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_00/Signed slides/Blast, no lineage spec",7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Erythroblast,7
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Lymphocyte, variant",7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Segmented neutrophils,7
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_92/Signed slides/Monocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_51/Signed slides/Segmented neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_96/Signed slides/Smudge cells,6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_66/Signed slides/Blast, no lineage spec",6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Band neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Signed slides/Eosinophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Smudge cells,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_64/Signed slides/Monocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_59/10024110838_p/Signed slides/Band neutrophils,6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_13/Signed slides/Blast, no lineage spec",6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_86/Signed slides/Promonocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Segmented neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_14/Signed slides/Giant thrombocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_54/Signed slides/Segmented neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Monocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Eosinophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_23/Signed slides/Band neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Promyelocyte,6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Blast, no lineage spec",6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Giant thrombocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Lymphocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_45/Signed slides/Lymphocyte,6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Lymphocyte, variant",6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Lymphocyte, variant",6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_68/Signed slides/Promyelocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Promyelocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Erythroblast,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_14/Signed slides/Myelocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_53/Signed slides/Smudge cells,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Band neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_76/Signed slides/Segmented neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Myelocyte,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_64/Signed slides/Segmented neutrophils,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_01/Signed slides/Erythroblast,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Unidentified,6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_03/Signed slides/Segmented neutrophils,6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_67/Signed slides/Lymphocyte, variant",6
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Lymphocyte, variant",6
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_40/Signed slides/Myelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_26/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_28/Signed slides/Segmented neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Lymphocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_42/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Myelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_24/Signed slides/Lymphocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Monocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_21/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Segmented neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Monocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Plasma cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Eosinophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_98/Signed slides/Lymphocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_43/Signed slides/Monocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Erythroblast,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_69/10026924218/Signed slides/Segmented neutrophils,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_81/10026273526/Signed slides/Blast, no lineage spec",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Segmented neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_92/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_72/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_69/10026924218/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_41/Signed slides/Eosinophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_00/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_11/Signed slides/Monocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_103/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_63/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Thrombocyte aggregation,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Lymphocyte, variant",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_51/Signed slides/Lymphocyte,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Lymphocyte, variant",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Basophil,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Myelocyte,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Lymphocyte, variant",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_85/Signed slides/Myelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_59/10024110838_p/Signed slides/Segmented neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_94/Signed slides/Promyelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Unidentified,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_09/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Myelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Segmented neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Smudge cells,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_47/Signed slides/Segmented neutrophils,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_101/Signed slides/Blast, no lineage spec",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_93/Signed slides/Monocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_37/Signed slides/Lymphocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Basophil,5
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Signed slides/Blast, no lineage spec",5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Myelocyte,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Band neutrophils,5
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_18/Signed slides/Monocyte,4
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_55/Signed slides/Blast, no lineage spec",4
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Lymphocyte, variant",4
